Language,Num,Question,Body,Ground_Truth
Kotlin,16,How to get key for value from Hashmap in Kotlin?,"I have HashMap in Kotlin

val map = HashMap<String, String>()
I want to know how to get key for a particular value from this HashMap without iterating through complete HashMap?",filterValues
Kotlin,17,How do I sum all the items of a list of integers in Kotlin?,"I have a list of integers, like:

val myList = listOf(3,4,2)
Is there any quick way in Kotlin to sum all the values of the list? or do I have to use a loop?

Thanks.",sum
Kotlin,18,how to remove item from array list in kotlin,"fun main(args: Array<String>) {
var listOfRideDate = mutableListOf<RideDate>();
val date1 = RideDate()
date1.startdate = ""2018-11-05 00:00:00 +0000""
date1.enddate = ""2018-11-06 23:59:59 +0000""
listOfRideDate.add(date1)

val date2 = RideDate()
date2.startdate = ""2020-01-20 00:00:00 +0000""
date2.enddate = ""2020-02-20 00:00:00 +0000""
listOfRideDate.add(date2)

val date3 = RideDate()
date3.startdate = ""2020-03-20 00:00:00 +0000""
date3.enddate = ""2020-03-20 00:00:00 +0000""
listOfRideDate.add(date3)

val date4 = RideDate()
date4.startdate = ""2020-04-20 00:00:00 +0000""
date4.enddate = ""2020-04-20 00:00:00 +0000""
listOfRideDate.add(date4)

val date5 = RideDate()
date5.startdate = ""2020-11-20 00:00:00 +0000""
date5.enddate = ""2020-11-20 00:00:00 +0000""
listOfRideDate.add(date5)


for (i in 0..listOfRideDate.size -1) {
    // we have to remove 2018-11-05 00:00:00 +0000 and 2018-11-06 23:59:59 +0000  from list
    println(listOfRideDate.get(i).startdate + "" and "" + listOfRideDate.get(i).enddate)
}
}

This is my data class and the main method I have added item RideDate of startDate and endDate manually I want delete item dynamically if data contains date1.startdate = ""2018-11-05 00:00:00 +0000"" date1.enddate = ""2018-11-06 23:59:59 +0000""

so that I can ignore it please help me how to delete the item from array list in kotlin",removeAll
Kotlin,19,What do I use now that Handler() is deprecated?,"How do I fix the deprecation warning in this code? Alternatively, are there any other options for doing this?

Handler().postDelayed({
    context?.let {
        //code
    }
}, 3000)",postDelayed
Kotlin,20,How do we remove elements from a MutableList in Kotlin,"I have the following code where I need to display the elements of a list in view and then remove those items from the list. I have been looking into filter vs map in kotlin but no luck finding a solution.

var mutableList: MutableList<Object> = myImmutableList.toMutableList()
for (x in mutableList.indices)
{
    val tile = row!!.getChildAt(x % 4)
    val label = tile.findViewById(android.R.id.text1) as TextView
    label.text = mutableList[x].name
    val icon = tile.findViewById(android.R.id.icon) as ImageView
    picasso.load(mutableList[x].icon).into(icon)
}",mutableList.clear()
Go,21,How to wait for all goroutines to finish without using time.Sleep?,"This code selects all xml files in the same folder, as the invoked executable and asynchronously applies processing to each result in the callback method (in the example below, just the name of the file is printed out).

How do I avoid using the sleep method to keep the main method from exiting? I have problems wrapping my head around channels (I assume that's what it takes, to synchronize the results) so any help is appreciated!

package main

import (
    ""fmt""
    ""io/ioutil""
    ""path""
    ""path/filepath""
    ""os""
    ""runtime""
    ""time""
)

func eachFile(extension string, callback func(file string)) {
    exeDir := filepath.Dir(os.Args[0])
    files, _ := ioutil.ReadDir(exeDir)
    for _, f := range files {
            fileName := f.Name()
            if extension == path.Ext(fileName) {
                go callback(fileName)
            }
    }
}


func main() {
    maxProcs := runtime.NumCPU()
    runtime.GOMAXPROCS(maxProcs)

    eachFile("".xml"", func(fileName string) {
                // Custom logic goes in here
                fmt.Println(fileName)
            })

    // This is what i want to get rid of
    time.Sleep(100 * time.Millisecond)
}",sync.WaitGroup
Go,22,In Go 1.18 strings.Title() is deprecated. What to use now? And how?,"As suggested here names of people should be capitalized like John William Smith.

I'm writing a small software in Golang which gets last and first name from user's form inputs.

Until Go 1.18 I was using:

lastname = strings.Title(strings.ToLower(strings.TrimSpace(lastname)))
firstname = strings.Title(strings.ToLower(strings.TrimSpace(firstname)))
It works but now Go 1.18 has deprecated strings.Title().

They suggest to use golang.org/x/text/cases instead.

So I think I should change my code in something like this:

caser := cases.Title(language.Und)

lastname = caser.Title(strings.ToLower(strings.TrimSpace(lastname)))
firstname = caser.Title(strings.ToLower(strings.TrimSpace(firstname)))
It works the same as before.

The difference is for Dutch word like ijsland that should be titled as IJsland and not Ijsland.

The question
In the line caser := cases.Title(language.Und) I'm using Und because I don't know what language Tag to use.

Should I use language.English or language.AmericanEnglish or other?

So far it was like strings.Title() was using Und or English?",cases.Title
Go,23,Create a io.Reader from a local file,"I would like to open a local file, and return a io.Reader. The reason is that I need to feed a io.Reader to a library I am using, like:

func read(r io.Reader) (results []string) {

}",os.Open
Go,24,Go interface with String() method,"Is there a Go interface in the standard library with:

String() string
?

(Similar to how Java has toString() on java.lang.Object)

Perhaps I just didn't search enough but I didn't see one. Wanted to use one that already exists rather than than making my own (though I guess it really makes no difference with Go's type system).",fmt.Stringer
Go,25,What is the best way to call template.ParseFiles() dynamically in Go instead of passing in x number of strings?,"I want to load a folder of HTML templates in Go and right now I can only pass in each file path as a string in an argument.

Example:

templates = template.Must(template.ParseFiles(""../web/html_templates/edit.html"", ""../web/html_templates/view.html""))
Works fine.

This and similar solutions won't work:

templates = template.Must(template.ParseFiles(""../web/html_templates/*""))
I'd like to specify my templates in a config file but I currently can't. What is the best way to go about this?",ParseGlob
